COMPONENT,LOINC_NUM
Children's Health Watch Housing Stability Vital Signs panel,98975-6
Dysautonomia autoimmune Ab panel,99000-2
Meningitis+Encephalitis pathogens panel,99087-9
Leptospira sp Ab panel,99011-9
Urinary tract pathogens panel,99012-7
Antipsychotics drug panel,98966-5
Outcome and assessment information set (OASIS) form - version E,99130-7
Trajectory of foreign object at wound entry panel,99041-6
Patient-reported outcomes with LASIK - pre-operative panel,99192-7
Tegner activity scale panel,99283-4
Checklist of nonverbal pain indicators panel,99287-5
Choriogonadotropin.beta subunit heterophile Ab interference panel,99306-3
COVID-19 health questions panel,99357-6
Gas & electrolytes panel,99548-0
Health Leads screening panel,99549-8
Roland Morris Disability Questionnaire panel,99574-6
Columbia Behavior Scale for Dementia panel,99577-9
Lysholm Knee Scoring Scale,99583-7
American Academy of Family Physicians Social Needs Screening Tool,99593-6
American Academy of Family Physicians Social Needs Screening Tool - short form,99595-1
Shared decision making panel,99417-8
"COVID-19 Knowledge, Attitudes, and Avoidant Behaviors panel",99673-6
Behavior change panel,99556-3
Adherence panel,99562-1
Acceptance of loss panel,99567-0
Temporary pacemaker panel,99674-4
Permanent pacemaker panel,99697-5
Continuous renal replacement therapy panel,99707-2
Intermittent hemodialysis panel,99737-9
Peritoneal dialysis panel,99742-9
Patient reported outcomes with LASIK - post-operative panel,99745-2
Adalimumab & Adalimumab Ab panel,99781-7
Educational impact due to COVID-19 panel,99825-2
Functional Communication Measure - Cognition ages 6 or older panel,99788-2
Functional Communication Measure - Multi-Modal Functional Communication panel,99828-6
Functional Communication Measure - Spoken Language Comprehension ages 6 or older panel,99836-9
Functional Communication Measure - Spoken Language Expression ages 6 or older panel,99844-3
Functional Communication Measure - Swallowing panel,99852-6
Perioperative nursing data set outcomes panel,100017-3
Address panel,99952-4
Telecommunication panel,99948-2
Mainz pain staging system panel,99934-2
Standard Dermatology Outcome Measures panel,100062-9
Stimulants drug panel,99107-5
Siderocytes panel,99393-1
SARS coronavirus 2 spike & nucleocapsid protein stimulated gamma interferon panel,99771-8
Taenia solium larva Ab bands panel,100088-4
Trypanosoma cruzi Ab bands panel,100092-6
Fasciola sp Ab bands panel,100112-2
Filaria Ab.IgG & IgM panel,100105-6
Leishmania sp Ab bands panel,100109-8
Helicobacter pylori Ab panel,100113-0
Toxoplasma gondii Ab bands panel,100147-8
Chlamydia trachomatis Ab panel,100120-5
Chlamydophila pneumoniae Ab panel,100122-1
Chlamydophila psittaci Ab panel,100125-4
Bordetella pertussis Ab.IgG panel,100126-2
Campylobacter sp Ab panel,100127-0
Cryptococcus sp Ag panel,100128-8
Schistosoma sp Ab bands panel,100148-6
Specular microscopy panel,100066-0
6-oxo-piperidine-2-carboxylate & 6(R+S)-oxo-propylpiperidine-2-carboxylate panel,100149-4
Knee Society Score pre-op panel,100159-3
Impacts of Events Scale-Revised panel,100232-8
Routine prenatal assessment panel,100230-2
Five Facet Mindfulness Questionnaire panel,100280-7
Harris Hip Score panel,100283-1
Segmental wall motion panel,100224-5
Knee Society Score post-op panel,100203-9
Time period start & end panel,100302-9
Behavioral screening elder mistreatment,100307-8
Norwalk Community Health Center Screening Tool,100353-2
Brief Resilience Scale panel,100360-7
Amino Acids Urea Cycle Panel,100368-0
Carnitine Free & Total & Acylcarnitine Panel,100428-2
Lipopolysaccharide-responsive beige-like anchor protein deficiency panel,100429-0
Pure tone bone conduction threshold audiometry panel,100652-7
Pure tone air conduction threshold audiometry panel,100653-5
Cortisol free & total panel,100662-6
Cholesterol.in lipoprotein (little a) & Cholesterol.in LDL panel,100732-7
traMADol & metabolites panel,100734-3
Mannose-6-phosphate isomerase & phosphomannomutase 1 panel,100735-0
Cell count & Differential panel,100848-1
Gas & ammonia panel,100847-3
Febrile antibody profile,100866-3
Center for Epidemiologic Studies Depression Scale panel,100766-5
User satisfaction panel,100921-6
Privacy panel,100922-4
Digital readiness panel,100958-8
Digital confidence panel,100928-1
Personal safety panel,100934-9
Neighbor relationships panel,100940-6
Loneliness Office of National Statistics panel,100951-3
POLST panel,100821-8
Enterobacteriaceae.carbapenem resistance panel,100900-0
Yeast & Candida sp identification panel,100903-4
Urinary tract pathogens panel,100904-2
Enterobacteriaceae.extended spectrum beta lactamase resistance phenotype & Enterococcus species.vancomycin resistant panel,100912-5
Staph aureus and MRSA screening panel,100913-3
Product confidence panel,100952-1
"Galactose-alpha-1,3-galactose panel",100751-7
Homocysteine & Methylmalonate & 2-Methylcitrate panel,100765-7
Protein fractions.oligoclonal bands panel,100757-4
Legionella serogroup panel,100747-5
Poxvirus DNA panel,100890-3
Orthopoxvirus IgG & IgM Ab panel,100893-7
Lipid panel,100898-6
Bovine Tuberculosis Comparative Cervical Test panel,100968-7
Chlamydia trachomatis & Neisseria gonorrhoeae rRNA panel,100710-3
Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel,100345-8
Dengue virus Ab.IgG Panel,100962-0
Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel,100972-9
"Respiratory Allergen Panel, Area 5",100997-6
Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.18.11,101104-8
Cortisol post dose insulin IV panel,100998-4
Somatotropin post dose insulin IV panel,100999-2
Glucose post XXX challenge panel,101132-9
Monocyte subsets panel,101146-9
Ustekinumab & Ustekinumab Ab panel,101144-4
Chlamydia trachomatis & Neisseria gonorrhoeae & Trichomonas vaginalis rRNA panel,101172-5
Bioterrorism agent panel,101359-8
Borrelia burgdorferi Ab.IgG & IgM with reflex to immunoassay panel,101352-3
Anaplasma phagocytophilum & Babesia microti & Ehrlichia chaffeensis Ab.IgG panel,101409-1
Pediatric autoimmune central nervous system disorders evaluation panel,101417-4
Pediatric autoimmune central nervous system disorders evaluation panel,101416-6
Tapentadol & Nortapentadol panel,101401-8
Phenylalanine & Tyrosine panel,101402-6
CHAMPS pediatric fall risk assessment,101438-0
Alpha globin gene deletion panel,101471-1
Semen & urine analysis fertility panel,101569-2
Gas & electrolytes panel,101473-7
Electrolytes panel,101565-0
Thyroglobulin & Thyroglobulin Ab panel,101568-4
Cortisol & Cortisone panel,101319-2
Cortisol & 17-Hydroxyprogesterone post corticotropin stimulation panel,101316-8
17-Hydroxypregnenolone & 17-Hydroxyprogesterone post corticotropin stimulation panel,101314-3
Glucose post arginine stimulation panel,101308-5
Somatotropin post insulin stimulation panel,101310-1
Lymphocyte T-cell & B-cell & Natural killer subsets panel,100987-7
Hantavirus Ab.IgG panel,101209-5
Hantavirus Ab.IgM panel,101214-5
Pharyngeal pathogens DNA & RNA panel,101285-5
Acute febrile illness global pathogens panel,101344-0
Monkeypox virus & Orthopoxvirus.non-variola DNA panel,101398-6
Contactin-associated protein 1 Ab.IgG & Neurofascin155 Ab.IgG4 panel,101447-1
Mitochondrial metabolites panel,101455-4
Phosphatidylethanol panel,101506-4
Schmid fall risk assessment,101549-4
Cortisol & Cortisone panel,101315-0
17-Hydroxyprogesterone post corticotropin stimulation panel,101313-5
Lymphocyte TCR alpha beta double negative subsets panel,101414-1
Blastomyces sp & Blastomyces dermatitidis Ag panel,101415-8
C peptide post XXX challenge panel,101410-9
"Metanephrine, Normetanephrine, 3-Methoxytyramine panel",101400-0
Palmitoyl protein thioesterase & Tripeptidyl peptidase I panel,101348-1
B-cell CD19 & CD20 subsets panel,100994-3
Bacterial versus viral etiology indicator panel,101542-9
Bacterial susceptibility panel,101505-6
Adenovirus DNA & Human Metapneumovirus & Rhinovirus RNA panel,101474-5
Monkeypox virus sequencing panel,101002-4
Blood group antigens panel,100990-1
Clinical record panel,100971-1
Cardiovascular risk panel,101642-7
Thyroglobulin heterophile Ab interference panel,101626-0
Hypoglycemia evaluation panel,101629-4
Protein electrophoresis & monoclonal protein isotype panel,101665-8
Protein electrophoresis & monoclonal protein isotype panel,101668-2
Leukotriene E4 Panel,101681-5
Chlamydia trachomatis rRNA & Neisseria gonorrhoeae rRNA & Trichomonas vaginalis RNA & Candida sp RNA panel,101696-3
Clostridium tetani toxoid and corynebacterium diphtheriae Ab panel,101791-2
Malabsorption Evaluation Panel,101803-5
Human papilloma virus cytology and high-risk genotypes panel,101822-5
Synthetic glucocorticoid panel,101828-2
Gas and electrolytes point of care panel,101866-2
Iohexol disappearance panel,101919-9
Eculizumab Monitoring Panel,101922-3
Ravulizumab Monitoring Panel,101923-1
Supersaturation panel,101929-8
Crystals panel,101930-6
Neonatal infant pain scale panel (NIPS),101967-8
Platelet function panel,101790-4
"Cortisol, glucose and somatotropin post glucagon stimulation panel",101977-7
Glucose and somatotropin post glucagon stimulation panel,101978-5
"Glucose, somatotropin and cortisol post insulin administration",101980-1
Cortisol post arginine stimulation panel,101979-3
Malnutrition risk screening panel,101789-6
Troponin T. cardiac 2H &6H 5th generation panel,101865-4
Protein monoclonal panel,101909-0
Protein monoclonal panel 24Hr,101910-8
SARS coronavirus 2 RNA,101721-9
Prenatal hepatitis B & C panel,101653-4
"Neonatal ABO, Rh & DAT panel",101654-2
Neonatal ABORh & Ab antibody panel,101680-7
Neonate blood type & indirect antibody screen panel,101679-9
Post traumatic stress disorder checklist - civilian version DSM-5,101697-1
The Primary Care PTSD Screen for DSM-5,102010-6
External Steroid panel,103204-4
ACTH heterophile Ab interference panel,102008-0
Follitropin & lutropin post leuprolide stimulation panel,101905-8
SARS coronavirus 2 RNA,103202-8
Systemic lupus Ab panel,103139-2
HLA-DQA1 SSO panel,102096-5
Gastrin secretin stimulation XXX challenge panel,102087-4
Torch Ab.IgG panel,102088-2
Alpha-1-Antitrypsin Proteotype panel,102082-5
Arginine Stimulation XXX Challenge Panel,102083-3
CNS demyelinating disease panel,102085-8
Hereditary sensory + autonomic neuropathy type 1 panel,102049-4
Sphingolipid panel,102057-7
Skeletal muscle channelopathy multigene panel,102119-5
Natural cannabinoids panel,102114-6
Lung cancer panel,102042-9
Somatotropin & glucose post glucose stimulation panel,101652-6
Rhabdomyolysis & Metabolic myopathy multigene panel,102118-7
Chimeric antigen receptor T-cell therapy panel,102078-3
GIST multigene mutation panel,102117-9
ESR1 gene mutation panel,102116-1
(Dog dander+Cat epithelium+Horse dander) Ab.IgE panel,102115-3
Histoplasma capsulatum+Blastomyces dermatitidis Ag panel,101587-4
Steroid drug screening panel,103148-3
Acute myeloid leukemia panel,102103-9
Vitamin B3 & metabolites panel,102102-1
Carbapenemase enzyme panel,101672-4
Lactate & pyruvate panel,101656-7
Basic metabolic & hematocrit panel,101655-9
Ehrlichiosis & Anaplasmosis & Babesiosis & Borrelia miyamotoi DNA panel,101647-6
Urinalysis macroscopic panel,24355-0
Bone marrow transplant chimerism panel,103152-5
Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.19.1,103563-3
Dog dander Ab.IgE panel,103574-0
Cat epithelium Ab.IgE panel,103575-7
Pain assessment in advanced dementia,103780-3
Long-Term Care Hospital (LTCH) Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) - Planned Discharge - version 5.1,103946-0
Long-Term Care Hospital (LTCH) Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) - Unplanned Discharge - version 5.1,103947-8
Long-Term Care Hospital (LTCH) Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) - Expired - version 5.1,103948-6
Long-Term Care Hospital (LTCH) Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) - Admission - version 5.1,103949-4
CMS - Inpatient Rehabilitation Facility - Patient Assessment Instrument - version 4.2,103991-6
Lupus anticoagulant aPTT screening panel,103620-1
Tick-borne Ab panel,103603-7
Fungal Pathogens Panel,103690-4
Infliximab and Infliximab Ab Panel,103791-0
Hendrich II fall risk,104028-6
Trust in Science and Scientist Inventory,104006-2
Mucopolysaccharidosis enzymes panel,104072-4
Multiple sulfatase deficiency enzymes panel,104073-2
Gas & Lactate panel,104074-0
Gas & Lactate panel,104075-7
Bile acid malabsorption panel,104027-8
Basic metabolic & hemoglobin & hematocrit panel,104076-5
Children and work family balance panel,104084-9
Mental Health Household Members panel,104104-5
Unmet Healthcare Needs panel,104040-1
Lifestyle Factors panel,104052-6
Prevention Orchestra Project panel,104120-1
Diagnostic multisection transesophageal & cardioversion panel,104210-0
Immunoglobulins and heavy-light chain panel,104266-2
Mucopolysaccharidosis type II newborn screening panel,104188-8
Newborn screening test results panel,57794-0
Guanidinoacetate methyltransferase (GAMT) deficiency newborn screening panel,104191-2
HLA-DPB1+DPA1 Typing panel,104224-1
HLA-DPB1+DPA1 Typing panel,104225-8
Dementia evaluation panel,104134-2
HLA-ABDR typing panel,102092-4
HLA-ABDR typing panel,102093-2
PhenX - job insecurity protocol 280301,104559-0
PhenX - housing instability due to affordability 281201,104560-8
Phenx - Occupational prestige protocol 270501,104570-7
Mephobarbital & PHENobarbital panel,104555-8
Medication strength presentation information,104825-5
Bacterial resistance panel,104991-5
Dimethylacetal panel,104687-9
Methylphenidate & Alpha-Phenyl-2-Piperidine acetate panel,104676-2
Egg White IgE Panel,104689-5
Ovarian malignancy (ROMA) panel,104551-7
Methadone Confirmatory panel,104626-7
Metanephrine & Normetanephrine & Total metanephrines panel,104632-5
Diabetes mellitus type 1 autoimmune panel,104673-9
"Measles, mumps, rubella and varicella-zoster virus Ab.IgG panel",104688-7
Tubular reabsorption of phosphorus panel,104884-2
Poxvirus DNA panel,104661-4
Sialate free and total panel,104657-2
Lysosomal storage disorders screen panel,105125-9
"Creatine, guanidinoacetate & creatinine panel",104537-6
Histoplasma capsulatum+Blastomyces dermatitidis Ag panel,105123-4
Functional assessment standardized items (FASI) - v1.1,105175-4
Risankizumab Ab panel,105194-5
Fentanyl & Norfentanyl panel,105202-6
Ramsay sedation scale,105042-6
PhenX - family history of incarceration protocol 281001,105258-8
Immunoglobulin light chains.free panel,104533-5
Monocyte and dendritic cell panel,104547-5
Clonazepam and 7-aminoclonazepam panel,104541-8
"Cobalamin, Methionine & Methylmalonic Acid Pathways Panel",104535-0
Egg Comprehensive panel,104536-8
Dengue virus Ab.IgG & IgM & NS1 Ag panel,104595-4
Phenytoin & Phenobarbital panel,104596-2
Intercellular substance & basement membrane Ab.IgA panel,104828-9
Intercellular substance & basement membrane Ab.IgG panel,104835-4
Aminoacylase-1 deficiency panel,104695-2
PhenX - air quality index protocol 290101,105371-9
Paraneoplastic vision loss evaluation panel,104992-3
Glucose dumping syndrome panel,104873-5
PhenX - healthcare communications protocol 281101,105485-7
PhenX - health numeracy protocol 280201,105506-0
PhenX - lipid profile protocol 40201,105519-3
Anemia Evaluation Panel,105456-8
Lysophosphatidylcholines panel,105457-6
Copper panel,105459-2
Lysosomal and peroxisomal storage disorders panel,105458-4
PhenX - food swamp protocol 290501,104563-2
PhenX - C reactive protein (CRP) protocol 660601,105848-6
PhenX - environmental justice protocol 290401,105578-9
Rheumatoid Factor IgM and IgA antibody panel,106053-2
Primary biliary cholangitis comprehensive Ab panel,106054-0
SP100 and GP210 Ab.IgG panel,106055-7
Beta-Amyloid 1-42 and 1-40 panel,106057-3
Enteric parasite panel,106059-9
Hepatitis B and C virus Ab panel,106060-7
Chlamydia trachomatis & Neisseria gonorrhoeae & Trichomonas vaginalis rRNA panel,106058-1
Enteric bacteria panel,106061-5
Enteric pathogen panel,106062-3
Lactose challenge panel-methane,105750-4
Lactose challenge panel-hydrogen,105751-2
NICHQ Vanderbilt Assessment Scale - Parent Informant,106345-2
Performing laboratory panel,106205-8
Batch panel,106204-1
Neutrophil Ab screen panel,105285-1
Herpes simplex virus 1 & 2 & Varicella zoster virus & Treponema pallidum DNA panel,104651-5
Information panel,104976-6
Communication capability information panel,104956-8
